Name,Full Name,Owner,License,Description,Language,Stars,Forks,Open Issues,Created At,Updated At,GitHub URL
Machine-Learning-Projects,aswintechguy/Machine-Learning-Projects,aswintechguy,Unknown,This repository contains mini projects in machine learning with notebook files,Jupyter Notebook,1334,682,6,2020-06-16 12:20:19+00:00,2026-08-18 07:40:21+00:00,https://github.com/aswintechguy/Machine-Learning-Projects
onnx,onnx/onnx,onnx,Apache-2.0,Open standard for machine learning interoperability,Python,21325,4001,287,2017-09-07 04:53:45+00:00,2026-08-18 11:03:36+00:00,https://github.com/onnx/onnx
machinelearning,dotnet/machinelearning,dotnet,MIT,ML.NET is an open source and cross-platform machine learning framework for .NET.,C#,9347,1950,1008,2018-05-03 16:20:42+00:00,2026-08-16 18:53:12+00:00,https://github.com/dotnet/machinelearning
Machine-Learning-Projects,shsarv/Machine-Learning-Projects,shsarv,Unknown,"This repository showcases a selection of machine learning projects undertaken to understand and master various ML concepts. Each project reflects commitment to applying theoretical knowledge to practical scenarios, demonstrating proficiency in machine learning techniques and tools.",Jupyter Notebook,1797,573,6,2020-11-13 16:16:44+00:00,2026-08-17 14:46:46+00:00,https://github.com/shsarv/Machine-Learning-Projects
WZU-machine-learning-course,fengdu78/WZU-machine-learning-course,fengdu78,Unknown,温州大学《机器学习》课程资料（代码、课件等）,Jupyter Notebook,2081,738,8,2021-03-21 15:08:38+00:00,2026-08-16 15:59:56+00:00,https://github.com/fengdu78/WZU-machine-learning-course
machine-learning-coursera-1,Borye/machine-learning-coursera-1,Borye,MIT,This repo is specially created for all the work done my me as a part of Coursera's Machine Learning Course.,Unknown,1115,889,4,2014-08-28 10:48:18+00:00,2026-08-06 12:34:00+00:00,https://github.com/Borye/machine-learning-coursera-1
MachineLearningCourse,chinawithfrank/MachineLearningCourse,chinawithfrank,Unknown,机器学习精简入门教程,Unknown,841,261,1,2016-06-23 01:22:30+00:00,2026-07-28 14:25:12+00:00,https://github.com/chinawithfrank/MachineLearningCourse
Qix,ty4z2008/Qix,ty4z2008,NOASSERTION,Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang,Unknown,15184,4575,0,2014-04-20 11:03:15+00:00,2026-08-17 07:06:14+00:00,https://github.com/ty4z2008/Qix
netron,lutzroeder/netron,lutzroeder,MIT,"Visualizer for neural network, deep learning and machine learning models",JavaScript,33363,3173,16,2010-12-26 12:53:43+00:00,2026-08-18 10:41:48+00:00,https://github.com/lutzroeder/netron
BuildingMachineLearningSystemsWithPython,luispedro/BuildingMachineLearningSystemsWithPython,luispedro,MIT,Source Code for the book Building Machine Learning Systems with Python,Python,2133,1410,3,2013-09-25 07:10:26+00:00,2026-08-17 16:26:52+00:00,https://github.com/luispedro/BuildingMachineLearningSystemsWithPython
bayesian-machine-learning,krasserm/bayesian-machine-learning,krasserm,Apache-2.0,Notebooks about Bayesian methods for machine learning,Jupyter Notebook,1918,473,5,2018-03-19 14:17:43+00:00,2026-08-17 01:46:43+00:00,https://github.com/krasserm/bayesian-machine-learning
awesome-machine-learning-on-source-code,src-d/awesome-machine-learning-on-source-code,src-d,CC-BY-SA-4.0,Cool links & research papers related to Machine Learning applied to source code (MLonCode),Unknown,6623,830,8,2017-06-20 13:35:45+00:00,2026-08-17 07:08:46+00:00,https://github.com/src-d/awesome-machine-learning-on-source-code
machine-learning,BindiChen/machine-learning,BindiChen,Unknown,Practical Full-Stack Machine Learning,Jupyter Notebook,707,475,0,2020-05-11 22:14:09+00:00,2026-06-21 09:17:55+00:00,https://github.com/BindiChen/machine-learning
Deep_Learning_Machine_Learning_Stock,LastAncientOne/Deep_Learning_Machine_Learning_Stock,LastAncientOne,MIT,Deep Learning and Machine Learning stocks represent promising opportunities for both long-term and short-term investors and traders.,Jupyter Notebook,1783,365,4,2018-09-29 23:38:06+00:00,2026-08-14 20:36:05+00:00,https://github.com/LastAncientOne/Deep_Learning_Machine_Learning_Stock
Awesome-Quant-Machine-Learning-Trading,grananqvist/Awesome-Quant-Machine-Learning-Trading,grananqvist,Unknown,Quant/Algorithm trading resources with an emphasis on Machine Learning,Unknown,3961,695,20,2018-11-05 21:09:06+00:00,2026-08-18 10:10:09+00:00,https://github.com/grananqvist/Awesome-Quant-Machine-Learning-Trading
Machine-Learning-with-R-datasets,stedy/Machine-Learning-with-R-datasets,stedy,Unknown,Formatted datasets for Machine Learning With R by Brett Lantz,Unknown,695,1510,1,2014-08-19 22:22:19+00:00,2026-08-08 02:12:09+00:00,https://github.com/stedy/Machine-Learning-with-R-datasets
ggml,ggml-org/ggml,ggml-org,MIT,Tensor library for machine learning,C++,15188,1782,347,2022-09-18 17:07:19+00:00,2026-08-18 11:00:06+00:00,https://github.com/ggml-org/ggml
MachineLearning,xxg1413/MachineLearning,xxg1413,Unknown,Machine Learning,Jupyter Notebook,397,248,1,2016-03-10 14:08:13+00:00,2026-05-15 15:43:18+00:00,https://github.com/xxg1413/MachineLearning
Coursera-Machine-Learning-Stanford,atinesh/Coursera-Machine-Learning-Stanford,atinesh,Unknown,Machine learning-Stanford University,MATLAB,1177,747,5,2016-07-02 06:08:23+00:00,2026-08-10 05:53:18+00:00,https://github.com/atinesh/Coursera-Machine-Learning-Stanford
